,campaign_E,resistance_E,cycle_E,target_cycle
18358,2228.1828104655697,0.014579060264893938,20,alert
18359,2236.863626083169,0.014522353066848532,20,alert
18360,2245.4662639843696,0.014639359048511475,20,alert
18361,2254.0658450254696,0.014629589522062048,20,alert
18362,2262.6623697895693,0.014619812152912215,20,alert
18363,2271.255837693569,0.014610028723509852,20,alert
18364,2279.8514244163694,0.014591447058792973,20,alert
18365,2288.4568058863697,0.014559875767018149,20,alert
18366,2297.071982769969,0.014528375042683728,20,alert
18367,2305.6874119692698,0.014513003777822133,20,alert
18368,2314.289787475469,0.014532549366264958,20,alert
18369,2322.8655692900697,0.01457778880313446,20,alert
18370,2331.3897734939696,0.01466617088523078,20,alert
18371,2339.94301116317,0.01461656155881066,20,alert
18372,2348.53128489567,0.014557107541401947,20,alert
18373,2357.12539021127,0.014547403031710645,20,alert
18374,2365.725327193269,0.014537711639245592,20,alert
18375,2374.33109642477,0.014528033461827789,20,alert
18376,2382.93751006507,0.014527118726731552,20,alert
18377,2391.52087492857,0.014566302860509875,20,alert
18378,2400.081191098569,0.014605697081396469,20,alert
18379,2408.6203607305697,0.014642040896278099,20,alert
18380,2417.1504912296696,0.014670396952215836,20,alert
18381,2425.671582595869,0.014699310753413195,20,alert
18382,2434.177971678669,0.01473809135741218,20,alert
18383,2442.638392322869,0.014831615846905127,20,alert
18384,2451.1041570785696,0.014835691989602778,20,alert
18385,2459.5752660290696,0.014839762843397278,20,alert
18386,2468.05171975747,0.014843827542930517,20,alert
18387,2476.5335173474696,0.014847887643472992,20,alert
18388,2484.99438539597,0.014898063222643816,20,alert
18389,2493.47367865477,0.01487742699747749,20,alert
18390,2501.94326996257,0.014881087790378682,20,alert
18391,2510.40831917127,0.014893203181669533,20,alert
18392,2518.84368025997,0.01494976454759386,20,alert
18393,2527.2493538950703,0.015006724164529061,20,alert
18394,2535.62997630467,0.015055754373978806,20,alert
18395,2544.01404008717,0.015053743342272816,20,alert
18396,2552.4254461783703,0.015008930624224478,20,alert
18397,2560.8941020271704,0.014911133908091609,20,alert
18398,2569.32731564187,0.014977481764226988,20,alert
18399,2577.73909799917,0.015019332348673867,20,alert
18400,2586.10950233097,0.01509728701323379,20,alert
18401,2594.43852855397,0.015176017576454688,20,alert
18402,2602.72617716797,0.015255532176692743,20,alert
18403,2611.10270996407,0.01509736117393102,20,alert
18404,2619.4847260659703,0.015091188231471752,20,alert
18405,2627.8706203659704,0.015087911911076675,20,alert
18406,2636.2459869620698,0.015110583394036897,20,alert
18407,2644.60471155097,0.015144383069529848,20,alert
18408,2652.93386312381,0.015207256489487966,20,alert
18409,2661.22179995581,0.015313635131962357,20,alert
18410,2669.5906377478104,0.015196055908930204,20,alert
18411,2677.95363562671,0.015237145339054044,20,alert
18412,2686.3107936758097,0.015278291943126583,20,alert
18413,2694.66211181181,0.015319496245209261,20,alert
18414,2703.00759011801,0.01536075756194385,20,alert
18415,2711.34722851111,0.015402078716779176,20,alert
18419,2746.1783279877795,0.014699703755996038,20,alert
18420,2754.04124489578,0.014776850682192153,20,alert
18421,2761.91379544878,0.014853808142576941,20,alert
18422,2769.79597881378,0.014930580544798074,20,alert
18423,2777.20218466264,0.014804923222040555,20,alert
18424,2785.05996660045,0.014872999641623023,20,alert
18425,2792.82872951845,0.015223465797492368,20,alert
18426,2800.73718278795,0.014987849145689387,20,alert
18427,2808.6034133699504,0.015101758249857516,20,alert
18428,2816.47720259395,0.01512068931590186,20,alert
18429,2824.3585496269498,0.015139585775933186,20,alert
18430,2832.2474553019497,0.015158443055918524,20,alert
18431,2840.143919618949,0.015177265500711058,20,alert
18432,2848.049207071949,0.015193621253888642,20,alert
18433,2855.8711782481296,0.015389107011614734,20,alert
18434,2863.697493136129,0.0154141970015761,20,alert
18435,2871.52815211913,0.015439258507293881,20,alert
18436,2879.36315480562,0.015464292888874513,20,alert
18437,2887.20250114562,0.015480096971835026,20,alert
18438,2895.04683339046,0.015444276429480975,20,alert
18439,2902.90866110098,0.015383985009384074,20,alert
18440,2910.31214185698,0.01440837122451487,20,alert
18441,2916.94985404298,0.014753443646825817,20,alert
18442,2923.56386821198,0.014850854150627086,20,alert
18443,2930.15418436398,0.014948965713898574,20,alert
18444,2936.7208029571298,0.015047781578646474,20,alert
18445,2943.26372390813,0.015147315977408024,20,alert
18446,2949.7951636201306,0.01521905455827317,20,alert
18447,2956.3482438391297,0.015213759191584221,20,alert
18448,2962.92296456513,0.015208498683994142,20,alert
18449,2969.51932579813,0.015203272692418964,20,alert
18450,2976.78923916913,0.015594753504112973,20,alert
18451,2984.2262948231296,0.015385452884497134,20,alert
18452,2991.6945379971294,0.015461794563546974,20,alert
18453,2999.1544611671293,0.015619786187020476,20,alert
18454,3006.64503290613,0.01569604848957712,20,alert
18455,3014.7163597501294,0.01636382379300907,20,alert
18456,3022.813898605129,0.016358478788305857,20,alert
18457,3030.932941355129,0.016362652371303254,20,alert
18458,3039.063432857129,0.016387045061448734,20,alert
18459,3047.2053736025987,0.016411368161619633,20,alert
18460,3055.3587626085987,0.016435623706704816,20,alert
18461,3063.5236008080888,0.016459810575841477,20,alert
18462,3071.642293698089,0.01660086771123079,20,alert
18463,3079.662354040229,0.015775715265907837,20,alert
18464,3087.612591839229,0.01600632484791918,20,alert
